pass2_index,input_url,normalized_input_url,shuffle_sha256,pass1_occurrence_count,source_pass1_indices,source_sheet_rows,source_company_names,pass1_dataset,pass1_state,pass1_page_id,pass1_total_count,pass1_results_count,pass1_is_result_complete,pass1_error,pass1_captcha_required,pass1_system_status
527,https://www.facebook.com/izzyandliv,https://www.facebook.com/izzyandliv,8415b3d535112b9a7fe27921da1a8a74ac4c0b587c72c2de2154883794a4df32,1,896,930,Izzy & Liv,continuation-209,error,,,,,no_items,,
528,https://www.facebook.com/people/Devota/61580282446192,https://www.facebook.com/people/devota/61580282446192,8450b2639bd30c1479c2702e457a4bfdd4493208d82ffd063465c4e6b1fc41ec,1,267,299,Devota Clothing,partial-803,positive,748079288395437,1,1,true,,false,NO_KNOWN_ISSUES
529,https://www.facebook.com/aztechmountain,https://www.facebook.com/aztechmountain,850348ca018a3987d17e701b9e0b87ce75e62f8ac04e314c11ac9a417167c663,1,639,672,Aztech Mountain,partial-803,positive,908213549254446,19,19,true,,false,NO_KNOWN_ISSUES
530,https://www.facebook.com/ivycoastcollection,https://www.facebook.com/ivycoastcollection,8513160fccaf7dc5b821697da8aa18b5be29334a0fbe03a16fd6eddb60acfb05,1,442,474,Ivy Coast,partial-803,zero,286270611245751,0,0,true,,false,NO_KNOWN_ISSUES
531,https://www.facebook.com/dropxvault,https://www.facebook.com/dropxvault,8522fb6c0401e68fbb54e6a7201f53e707e584b6b1b709c6132d849e345fa68e,1,546,579,Drop Vault,partial-803,zero,388760367648830,0,0,true,,false,NO_KNOWN_ISSUES
532,https://www.facebook.com/campingwithdogsofficial,https://www.facebook.com/campingwithdogsofficial,8533bf7c3345abcf5baca2816737e544c545a98b6fc0b87207e00f2e7c2d61e8,1,955,989,Camping With Dogs,partial-803,zero,889288781083125,0,0,true,,false,NO_KNOWN_ISSUES
533,https://www.facebook.com/Luvons,https://www.facebook.com/luvons,85594418a9c9374fab2c85238e907e13380461340e1c63aebbd07427512c0b79,1,391,423,Luvons,partial-803,positive,105503682574732,4,4,true,,false,NO_KNOWN_ISSUES
534,https://www.facebook.com/shhhowercap,https://www.facebook.com/shhhowercap,85ac480491646a9bc8427c2cdd6091beac3469ed6c1c8e21c9a5aade92c8f4c0,1,1016,1050,SHHHOWERCAP,partial-803,zero,267212220112751,0,0,true,,false,NO_KNOWN_ISSUES
535,https://www.facebook.com/wearjoyproject,https://www.facebook.com/wearjoyproject,85f72a3e2db9e049540540f39f7c493255cccae4a463cee4c287082c3921101a,1,39,40,Wear Joy Project,partial-803,zero,115022793225252,0,0,true,,false,NO_KNOWN_ISSUES
536,https://www.facebook.com/soludos,https://www.facebook.com/soludos,862c56586e877db7663abbd20fbe8e0b5a7cbb1a795b530a808e965762e6a843,1,739,773,Soludos,partial-803,positive,133193066701863,123,30,false,,false,NO_KNOWN_ISSUES
